brand,name,town,address,phone,latitude,longitude,hours
BUILD_IT,Build It SupaTrade Pongola,Pongola,60 Piet Retief Rd,034 413 2423,-27.395,31.594,"Mon–Fri 7:30–17:00; Sat 8:00–13:00"
BUILD_IT,Build It SupaTrade Ulundi,Ulundi,Cnr Princess Mkabayi & King Mpande St,035 870 3434,-28.334,31.416,
BUILD_IT,Build It SupaTrade Manguzi,Manguzi,Main Rd, Maxprop Centre,035 592 9743,-26.967,32.813,
BUILD_IT,Build It SupaTrade Mbazwana,Mbazwana,No 6 Ithala Shopping Centre,035 571 0162,-27.544,32.653,
BUILD_IT,Build It SupaTrade Mkuze,Mkuze,Classic Lagoon Mini Factories,067 594 2878,-27.621,32.044,
ENGEN,Engen Mbazwana,Mbazwana,R22, 3974,035 940 0301,-27.547,32.657,
SPAR,SPAR Example,Durban,123 Example Rd,,,
